Temp,k_original,,Temp_optimized,k_optimized,,Michael_high_temp_T,Michael_k,,Baldwin_and_Walker_T,Baldwin_and_Walker_k,,,Temp_Kyser,k_Kyser,,Temp_Srindharan,k_Sridharan,,Baldwin_and_Walker_T_reinturp,Baldwin_and_Walker_k_reinturp,,,Balch_T,Balch_k,,,,Temp_B,k_B,,,Temp_B_low,k_B_low
445,3.20196E+12,,445,5.28463E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,3.21069E+12,,446,5.29597E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,3.21944E+12,,447,5.30734E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,3.2282E+12,,448,5.31873E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,3.23698E+12,,449,5.33015E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,3.24578E+12,,450,5.34159E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,3.25459E+12,,451,5.35305E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,3.26342E+12,,452,5.36454E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,3.27226E+12,,453,5.37606E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,3.28112E+12,,454,5.3876E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,3.28999E+12,,455,5.39916E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,3.29888E+12,,456,5.41075E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,3.30779E+12,,457,5.42236E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
