Time,CO_ppm,Relative_Uncertainty,W
0.00020920000000000002,60,0.05,0.020336296
0.0002096,59,0.05,0.020336296
0.00021,63,0.05,0.020336296
0.00021040000000000002,54,0.05,0.020336296
0.0002108,55,0.05,0.020336296
0.0002112,65,0.05,0.020336296
0.00021160000000000002,57,0.05,0.020336296
0.000212,62,0.05,0.020336296
0.0002124,68,0.05,0.020336296
0.00021280000000000002,63,0.05,0.020336296
0.00021319999999999998,65,0.05,0.020336296
0.00021360000000000001,70,0.05,0.020336296
0.00021400000000000002,62,0.05,0.020336296
0.0002144,75,0.05,0.020336296
0.00021480000000000002,65,0.05,0.020336296
0.00021519999999999997,65,0.05,0.020336296
0.0002156,70,0.05,0.020336296
0.00021600000000000002,68,0.05,0.020336296
0.0002164,67,0.05,0.020336296
0.0002168,70,0.05,0.020336296
0.00021719999999999997,67,0.05,0.020336296
0.0002176,63,0.05,0.020336296
0.000218,67,0.05,0.020336296
0.00021840000000000002,67,0.05,0.020336296
0.0002188,63,0.05,0.020336296
0.00021919999999999996,67,0.05,0.020336296
0.00021959999999999997,63,0.05,0.020336296
0.00022,65,0.05,0.020336296
0.00022040000000000002,65,0.05,0.020336296
0.00022080000000000003,68,0.05,0.020336296
0.00022119999999999998,68,0.05,0.020336296
0.00022159999999999997,68,0.05,0.020336296
0.00022200000000000003,72,0.05,0.020336296
0.0002224,73,0.05,0.020336296
0.00022280000000000002,73,0.05,0.020336296
0.00022319999999999998,75,0.05,0.020336296
0.0002236,77,0.05,0.020336296
0.00022400000000000002,72,0.05,0.020336296
0.00022440000000000003,68,0.05,0.020336296
0.00022480000000000002,67,0.05,0.020336296
0.00022519999999999997,70,0.05,0.020336296
0.00022559999999999998,73,0.05,0.020336296
0.000226,75,0.05,0.020336296
0.00022640000000000003,68,0.05,0.020336296
0.0002268,67,0.05,0.020336296
0.0002272,68,0.05,0.020336296
0.00022759999999999998,70,0.05,0.020336296
0.00022799999999999999,67,0.05,0.020336296
0.00022840000000000002,77,0.05,0.020336296
0.00022880000000000003,68,0.05,0.020336296
0.0002292,68,0.05,0.020336296
0.00022959999999999997,65,0.05,0.020336296
0.00022999999999999998,70,0.05,0.020336296
0.00023040000000000002,78,0.05,0.020336296
0.00023080000000000003,75,0.05,0.020336296
0.00023119999999999998,75,0.05,0.020336296
0.0002316,72,0.05,0.020336296
0.00023199999999999997,72,0.05,0.020336296
0.00023239999999999998,65,0.05,0.020336296
0.00023280000000000002,80,0.05,0.020336296
0.00023319999999999998,80,0.05,0.020336296
0.00023359999999999999,82,0.05,0.020336296
0.000234,73,0.05,0.020336296
0.00023439999999999998,80,0.05,0.020336296
0.00023480000000000004,75,0.05,0.020336296
0.0002352,78,0.05,0.020336296
0.00023559999999999998,82,0.05,0.020336296
0.000236,72,0.05,0.020336296
0.0002364,77,0.05,0.020336296
0.00023680000000000004,78,0.05,0.020336296
0.0002372,82,0.05,0.020336296
0.0002376,77,0.05,0.020336296
0.00023799999999999998,78,0.05,0.020336296
0.0002384,80,0.05,0.020336296
0.00023879999999999998,83,0.05,0.020336296
0.0002392,77,0.05,0.020336296
0.0002396,75,0.05,0.020336296
0.00023999999999999998,75,0.05,0.020336296
0.0002404,80,0.05,0.020336296
0.0002408,80,0.05,0.020336296
0.00024119999999999998,82,0.05,0.020336296
0.0002416,88,0.05,0.020336296
0.000242,73,0.05,0.020336296
0.00024239999999999998,78,0.05,0.020336296
0.0002428,83,0.05,0.020336296
0.0002432,75,0.05,0.020336296
0.00024359999999999999,87,0.05,0.020336296
0.000244,78,0.05,0.020336296
0.0002444,85,0.05,0.020336296
0.0002448,83,0.05,0.020336296
0.0002452,83,0.05,0.020336296
0.0002456,83,0.05,0.020336296
0.000246,87,0.05,0.020336296
0.00024639999999999997,83,0.05,0.020336296
0.0002468,80,0.05,0.020336296
0.0002472,85,0.05,0.020336296
0.0002476,83,0.05,0.020336296
0.000248,85,0.05,0.020336296
0.0002484,93,0.05,0.020336296
0.0002488,87,0.05,0.020336296
0.0002492,85,0.05,0.020336296
0.0002496,85,0.05,0.020336296
0.00025,85,0.05,0.020336296
0.0002504,88,0.05,0.020336296
0.0002508,90,0.05,0.020336296
0.0002512,87,0.05,0.020336296
0.0002516,87,0.05,0.020336296
0.000252,80,0.05,0.020336296
0.0002524,88,0.05,0.020336296
0.0002528,90,0.05,0.020336296
0.00025320000000000003,85,0.05,0.020336296
0.0002536,85,0.05,0.020336296
0.000254,87,0.05,0.020336296
0.0002544,92,0.05,0.020336296
0.0002548,87,0.05,0.020336296
0.0002552,93,0.05,0.020336296
0.0002556,85,0.05,0.020336296
