Temp,k_original,,Temp_optimized,k_optimized,,,Baldwin_and_Walker_T,Baldwin_and_Walker_k,,,Temp_Kyser,k_Kyser,,Temp_Srindharan,k_Sridharan,,Baldwin_and_Walker_T_reinturp,Baldwin_and_Walker_k_reinturp
515,4.75802E+13,,515,5.07692E+13,,,,,,,,,,,,,,
516,4.75961E+13,,516,5.08025E+13,,,,,,,,,,,,,,
517,4.76119E+13,,517,5.08357E+13,,,,,,,,,,,,,,
518,4.76278E+13,,518,5.08689E+13,,,,,,,,,,,,,,
519,4.76436E+13,,519,5.09021E+13,,,,,,,,,,,,,,
520,4.76594E+13,,520,5.09352E+13,,,,,,,,,,,,,,
521,4.76752E+13,,521,5.09682E+13,,,,,,,,,,,,,,
522,4.7691E+13,,522,5.10012E+13,,,,,,,,,,,,,,
523,4.77069E+13,,523,5.10341E+13,,,,,,,,,,,,,,
524,4.77227E+13,,524,5.1067E+13,,,,,,,,,,,,,,
525,4.77385E+13,,525,5.10998E+13,,,,,,,,,,,,,,
526,4.77543E+13,,526,5.11326E+13,,,,,,,,,,,,,,
527,4.77701E+13,,527,5.11654E+13,,,,,,,,,,,,,,
528,4.77859E+13,,528,5.11981E+13,,,,,,,,,,,,,,
529,4.78017E+13,,529,5.12307E+13,,,,,,,,,,,,,,
530,4.78174E+13,,530,5.12633E+13,,,,,,,,,,,,,,
531,4.78332E+13,,531,5.12958E+13,,,,,,,,,,,,,,
532,4.7849E+13,,532,5.13283E+13,,,,,,,,,,,,,,
533,4.78648E+13,,533,5.13608E+13,,,,,,,,,,,,,,
534,4.78805E+13,,534,5.13932E+13,,,,,,,,,,,,,,
535,4.78963E+13,,535,5.14255E+13,,,,,,,,,,,,,,
536,4.79121E+13,,536,5.14578E+13,,,,,,,,,,,,,,
537,4.79278E+13,,537,5.14901E+13,,,,,,,,,,,,,,
538,4.79436E+13,,538,5.15223E+13,,,,,,,,,,,,,,
539,4.79593E+13,,539,5.15544E+13,,,,,,,,,,,,,,
540,4.7975E+13,,540,5.15865E+13,,,,,,,,,,,,,,
541,4.79908E+13,,541,5.16186E+13,,,,,,,,,,,,,,
542,4.80065E+13,,542,5.16506E+13,,,,,,,,,,,,,,
543,4.80222E+13,,543,5.16826E+13,,,,,,,,,,,,,,
544,4.80379E+13,,544,5.17145E+13,,,,,,,,,,,,,,
545,4.80537E+13,,545,5.17464E+13,,,,,,,,,,,,,,
546,4.80694E+13,,546,5.17782E+13,,,,,,,,,,,,,,
547,4.80851E+13,,547,5.181E+13,,,,,,,,,,,,,,
548,4.81008E+13,,548,5.18418E+13,,,,,,,,,,,,,,
549,4.81165E+13,,549,5.18735E+13,,,,,,,,,,,,,,
550,4.81321E+13,,550,5.19051E+13,,,,,,,,,,,,,,
551,4.81478E+13,,551,5.19367E+13,,,,,,,,,,,,,,
552,4.81635E+13,,552,5.19683E+13,,,,,,,,,,,,,,
553,4.81792E+13,,553,5.19998E+13,,,,,,,,,,,,,,
554,4.81949E+13,,554,5.20313E+13,,,,,,,,,,,,,,
555,4.82105E+13,,555,5.20627E+13,,,,,,,,,,,,,,
556,4.82262E+13,,556,5.20941E+13,,,,,,,,,,,,,,
557,4.82418E+13,,557,5.21254E+13,,,,,,,,,,,,,,
558,4.82575E+13,,558,5.21567E+13,,,,,,,,,,,,,,
559,4.82731E+13,,559,5.21879E+13,,,,,,,,,,,,,,
560,4.82887E+13,,560,5.22192E+13,,,,,,,,,,,,,,
561,4.83044E+13,,561,5.22503E+13,,,,,,,,,,,,,,
562,4.832E+13,,562,5.22814E+13,,,,,,,,,,,,,,
563,4.83356E+13,,563,5.23125E+13,,,,,,,,,,,,,,
564,4.83512E+13,,564,5.23435E+13,,,,,,,,,,,,,,
565,4.83668E+13,,565,5.23745E+13,,,,,,,,,,,,,,
566,4.83824E+13,,566,5.24055E+13,,,,,,,,,,,,,,
567,4.8398E+13,,567,5.24364E+13,,,,,,,,,,,,,,
568,4.84136E+13,,568,5.24672E+13,,,,,,,,,,,,,,
569,4.84292E+13,,569,5.2498E+13,,,,,,,,,,,,,,
570,4.84448E+13,,570,5.25288E+13,,,,,,,,,,,,,,
571,4.84604E+13,,571,5.25595E+13,,,,,,,,,,,,,,
